,UUID,SRC HOSTNAME,DST HOSTNAME,THROUGHPUT (mean),LATENCY (mean),RETRANSMITS (mean),BYTES (mean)
1080,2d41d115-e71a-4d5f-ad41-5a4d94b65dea,localhost,perfsonar.na.infn.it,4366044501.659078,53766.308333333334,198,545757290.9333333
1081,c33e4469-9324-4c09-b11f-9310d6638779,localhost,perfsonar.na.infn.it,4891887475.729532,53768.058333333334,186,611489898.9333333
1082,7e8fba8f-fe0b-4087-bac6-89346384354d,localhost,nsw-brwy-ps1.aarnet.net.au,2235876004.467662,116958.975,0,279484803.3333333
1083,14a4aeb4-6fe3-4543-9f3d-d7dd4642b187,localhost,nsw-brwy-ps1.aarnet.net.au,2242674248.2437615,116544.35,0,280336771.3333333
1084,3859875d-f324-4747-92c8-ef0728ddbd3d,localhost,nsw-brwy-ps1.aarnet.net.au,2248107466.99223,116210.625,0,281013976.6666667
1085,51619b0f-cdd7-45ea-a7da-8da215e1321c,localhost,nsw-brwy-ps1.aarnet.net.au,2235874253.0347276,117003.61666666667,2,279484803.3333333
1086,b0847f49-35f0-4ab7-ad34-78b731ad82a1,localhost,nsw-brwy-ps1.aarnet.net.au,2228884911.00537,117079.20833333333,0,278610990.0
1087,39f8ab01-99eb-4307-a8ee-321b96aaaebc,localhost,perfsonar2.icepp.jp,2964646616.0824575,88125.16666666667,0,370581734.93333334
1088,b2794b9e-3066-43d4-80a1-c1a20c68ced9,localhost,perfsonar2.icepp.jp,2964300204.1130476,88160.28333333334,0,370538044.26666665
1089,7b7f0c99-a333-4aa6-a6ca-8da2cdb428ac,localhost,perfsonar2.icepp.jp,2962891145.202519,88198.83333333333,0,370362195.6
1090,e268cd4f-2070-41b6-82c7-7d149997414f,localhost,perfsonar2.icepp.jp,2961679212.034318,88301.90833333334,0,370210364.26666665
1091,d6c71456-dbbf-4aec-9c0e-f0f16f39b7b3,localhost,perfsonar2.icepp.jp,2961309747.6771812,88167.31666666667,0,370166673.6
1092,975ce9e8-d453-4fc0-a600-58c370d48d00,localhost,eqx-ash-pt1.es.net,9666392804.94792,5211.2,4078,1208306028.2
1093,f3a7292d-3adb-4a13-aaf2-8a92c30f1a8f,localhost,eqx-ash-pt1.es.net,9668209332.463556,5214.341666666666,3311,1208526569.4
1094,66781ab0-89a4-4a8e-a497-5e3c322fff6a,localhost,eqx-ash-pt1.es.net,9686235727.052486,5188.05,3076,1210780737.2
1095,e541164e-2aea-4928-9fd8-8728fcdd7d53,localhost,eqx-ash-pt1.es.net,9665562118.513645,5210.025,3867,1208198889.4
1096,324f21ab-e9ce-43f2-8442-34639f2cf032,localhost,eqx-ash-pt1.es.net,9669783456.23098,5253.5,3461,1208724221.3333333
1097,806c6227-d93f-4d94-af56-3d2b945590da,localhost,star-pt1.es.net,9724291026.44107,10133.45,3435,1215537877.4666667
1098,41fb29d9-d32a-49bf-8190-ff865a7b760c,localhost,star-pt1.es.net,9713455592.58051,9908.583333333334,3525,1214183466.8
