,UUID,HOSTNAME,ALIAS,TIMESTAMP,STREAMS,THROUGHPUT (Sender),THROUGHPUT (Receiver),LATENCY (min.),LATENCY (max.),LATENCY (mean),RETRANSMITS,CONGESTION (Sender),CONGESTION (Receiver),BYTES (Receiver)
78,505908c8-968b-480b-8913-fc59430c3679,10.201.1.2,hostA,2021-06-28T20:35:39.719Z,1,4928348200.67204,4902258855.84978,31674.5,31935.5,31826.0,0,cubic,cubic,36803996368
79,99f35148-cf45-4a8c-8a98-9e71898397ea,10.201.1.2,hostA,2021-06-28T20:36:52.773Z,1,5913481969.352346,5881715852.944277,31744.5,31864.5,31799.0,0,cubic,cubic,44157328052
80,d683072d-8783-42b7-a111-8e6385d2e5a8,10.201.1.2,hostB,2021-06-28T20:38:07.707Z,1,251205027.32202187,242602218.02263734,50140.0,51400.5,50452.0,22,cubic,cubic,1822568844
81,a189ca0a-4978-40e7-8672-4cde841468d6,10.201.1.2,hostB,2021-06-28T20:39:21.161Z,1,216368946.8928518,199184390.68875015,50137.5,51039.5,50465.5,32,cubic,cubic,1496387400
82,dbc54d65-349a-43d0-97f2-1738eee31823,10.201.1.2,hostB,2021-06-28T20:40:34.618Z,1,231431971.08004817,225092913.01951116,50138.0,50531.0,50276.5,20,cubic,cubic,1691024296
83,28b35546-70ab-4958-b6dc-9ffe4e056fa9,10.201.1.2,hostB,2021-06-28T20:41:48.081Z,1,221437098.79964706,216267675.36119783,50145.0,51004.5,50333.5,26,cubic,cubic,1624728564
84,08e9bb60-6e17-497f-bc14-721e9c0c9871,10.201.1.2,hostB,2021-06-28T20:43:01.537Z,1,194757046.705101,192873110.480379,50132.0,50619.0,50291.5,21,cubic,cubic,1448971948
85,32f460b6-2800-4e92-b038-35f34698aa5c,10.201.1.2,hostB,2021-06-28T20:44:14.994Z,1,277219579.44457084,271546094.8311067,50134.5,50686.5,50274.0,22,cubic,cubic,2040005244
86,ca40626e-97d4-4e70-8597-0268740be6fd,10.201.1.2,hostC,2021-06-28T20:45:29.284Z,1,990975052.1395354,987424295.7589895,21380.0,21484.5,21428.5,0,cubic,cubic,7410675376
87,071be26d-0dff-4073-b30c-9075a6321d33,10.201.1.2,hostC,2021-06-28T20:46:42.142Z,1,1979613921.069544,1972270444.085745,21417.0,21489.0,21451.0,0,cubic,cubic,14802134984
88,fcb740c3-03b8-47be-a9c9-5ef5387339b7,10.201.1.2,hostC,2021-06-28T20:47:55.000Z,1,2966973301.621359,2956038343.375736,21410.5,21577.0,21491.5,0,cubic,cubic,22185219264
89,d6f9168c-36f9-4ed6-907b-ee8053e4c65c,10.201.1.2,hostC,2021-06-28T20:49:07.858Z,1,3955619113.745937,3940863636.7315674,21493.5,21726.0,21576.0,0,cubic,cubic,29576598340
90,c8d9b36e-a06d-405b-bcf7-ddad1589fcc5,10.201.1.2,hostC,2021-06-28T20:50:20.711Z,1,4941775046.527064,4923254849.226116,21716.5,21937.0,21823.5,0,cubic,cubic,36949562432
91,8c818c27-9622-4771-b578-abc0c9269850,10.201.1.2,hostC,2021-06-28T20:51:33.565Z,1,5927789803.03472,5905835563.804377,21648.5,21840.5,21773.5,0,cubic,cubic,44323964004
92,9c86df16-6913-4442-96b3-7845ed743526,10.201.1.2,hostA,2021-06-28T20:52:48.268Z,4,989583794.7894394,984198788.572633,31404.0,31502.0,31450.5,0,cubic,cubic,7388940684
93,4ee2a0ef-24d9-4074-85bc-69e6df516f10,10.201.1.2,hostA,2021-06-28T20:54:01.567Z,4,1975769600.6726394,1965283271.1316464,31431.5,31521.0,31481.0,0,cubic,cubic,14754495832
